nachname	Sterbedatum	Geburtsdatum	GND-Nummer	vorname	beruf	ort	original
Srdce, Alois			1073371425	Alois			Srdce, Alois
Steinberg, Julius	1916-01-06	1841-08-08	117246158	Ela	Literaturagentin	Prag	Steinberg, Ela (Literaturagentin, Prag)
Stephenson					unbekannter Korrespondenz von Oskar Eirich		Stephenson (unbekannter Korrespondenz von Oskar Eirich)
Stephenson				Mary L.	Übersetzerin	USA	Stephenson, Mary L. (Übersetzerin, USA)
Sternberg				Henry	Literaturagent	Bukarest	Sternberg, Henry (Literaturagent, Bukarest)
Stock				Frieda	russ. Übersetzerin	Wien	Stock, Frieda (russ. Übersetzerin, Wien)
Stockton				Charles Edward	Literaturagent?	USA?	Stockton, Charles Edward (Literaturagent?, USA?)
Strassow, Ferdinand	1935-11-24	1873-07-04	1239387091	Ferdinand			Strassow, Ferdinand
Strauss				Dr. J.	Literaturwissenschaftler?	USA	Strauss, Dr. J. (Literaturwissenschaftler?, USA)
Sumner				John Saxton			Sumner, John Saxton
Synge, John Millington	1909-03-24	1871-04-16	118620312	Millington John			Synge, Millington John
Szalit, Julius	1919-08-28	1892-06-08	1329920023	Julius			Szalit, Julius
Szelinski, Georg		1850	1073506126	Georg			Szelinski, Georg
Ségal, Bettina			117446300	Bettina			Ségal, Bettina
Sós, Edmund	1931	1863	127688366	Edmund			Sós, Edmund
Ysaye, L.	1952	1879-02-09	1221413554	Lisa	Ps. L. Ysaye		Tarlau, Lisa (Ps. L. Ysaye)
Grey Terry, Ethel	1931	1882	1048754316	Ethel Grey			Terry, Ethel Grey
Torel					Übersetzer	Frankreich	Torel (Übersetzer, Frankreich)
Türschmann, Bruno		1878-10-05	117438200	Bruno			Türschmann, Bruno
Valentin					Literaturagent	Budapest	Valentin (Literaturagent, Budapest)
Vallentin					Übersetzer	Frankreich	Vallentin (Übersetzer, Frankreich)
Vészi, Margit			1077319800	Margit			Vészi, Margit
Wagenvoort, Maurits	1944	1859	117093246	Maurits			Wagenvoort, Maurits
Wantoch				Julius	Leiter Jüd. Volksbibliothek	Leitmeritz	Wantoch, Julius (Leiter Jüd. Volksbibliothek, Leitmeritz)
Whelen				Frederick			Whelen, Frederick
Wilfferodt, Gerhard		1877	142342696		Jurist	Leipzig	Wilfferodt (Jurist, Leipzig)
Winternitz				Marie	Übersetzerin	Polen	Winternitz, Marie (Übersetzerin, Polen)
Wisdom				J. H.	Übersetzer	England	Wisdom, J. H. (Übersetzer, England)
Wollf				Karl Joseph			Wollf, Karl Joseph
Wrede, Richard	1932-10-20	1869-02-27	117428175	Richard			Wrede, Richard
Zapolska, Gabriela	1921-12-21	1857-03-30	11880829X	Gabriela			Zapolska, Gabriela
Zavřel, František	1947	1885	127282351	Franz			Zavrel, Franz
Zeiss				Karl			Zeiss, Karl
Zöllner, Heinrich	1941-05-04	1854-07-04	117010235	Heinrich			Zöllner, Heinrich
